Tool,Count
"power bi, extratores de dados, mysql, banco de dados, erp, totvs datasul, power bi, extratores de dados, mysql, banco de dados, erp, totvs datasul, power bi, extratores de dados, mysql, banco de dados, erp, totvs datasul, power bi, extratores de dados, mysql, banco de dados, erp, totvs datasul, power bi, extratores de dados, mysql, banco de dados, erp, totvs datasul",1
estatistica,1
"looker, estatistica, python, r, api, banco de dados, sql, bigquery, postgre, bancos estruturados/não-estruturados, api., looker, estatistica, python, r, api, banco de dados, sql, bigquery, postgre, bancos estruturados/não-estruturados, api., looker, estatistica, python, r, api, banco de dados, sql, bigquery, postgre, bancos estruturados/não-estruturados, api., looker, estatistica, python, r, api, banco de dados, sql, bigquery, postgre, bancos estruturados/não-estruturados, api., looker, estatistica, python, r, api, banco de dados, sql, bigquery, postgre, bancos estruturados/não-estruturados, api.",1
bigquery,1
apis,1
postgre,1
api.,1
git.,1
"power bi, pacote office, excel , power bi, pacote office, excel , power bi, pacote office, excel , power bi, pacote office, excel , power bi, pacote office, excel",1
"pacote office, excel avançado, power bi, sql, python, etl., pacote office, excel avançado, power bi, sql, python, etl., pacote office, excel avançado, power bi, sql, python, etl., pacote office, excel avançado, power bi, sql, python, etl., pacote office, excel avançado, power bi, sql, python, etl.",1
"sql, power bi, excel, sql, power bi, excel, sql, power bi, excel, sql, power bi, excel, sql, power bi, excel",1
"power bi, analysis services, azure cloud, power bi, analysis services, azure cloud, power bi, analysis services, azure cloud, power bi, analysis services, azure cloud, power bi, analysis services, azure cloud",1
azure cloud,1
analysis services,1
star schema,1
"sql, python, r, star schema, snowflake schema, bancos de dados relacionais, apis, power bi., sql, python, r, star schema, snowflake schema, bancos de dados relacionais, apis, power bi., sql, python, r, star schema, snowflake schema, bancos de dados relacionais, apis, power bi., sql, python, r, star schema, snowflake schema, bancos de dados relacionais, apis, power bi., sql, python, r, star schema, snowflake schema, bancos de dados relacionais, apis, power bi.",1
snowflake schema,1
bancos de dados relacionais,1
"power bi, excel, etl, power bi, excel, etl, power bi, excel, etl, power bi, excel, etl, power bi, excel, etl",1
