"link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
https://www.netvagas.com.br/empresa/anuncios/a1199152/engenheiro-de-dados-jr-porto-alegre/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Júnior,Engenheiro de dados jr - porto alegre,Netvagas,"Python, SQL, ETL, AWS, GCP, Git, Databricks, Azure, Airflow, Docker"
https://grupoenergisa.gupy.io/job/eyJqb2JJZCI6ODIwMjUwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Júnior,SUPERVISOR (A) EQUIPES DE CAMPO I,Energisa,ETL
https://www.netvagas.com.br/empresa/anuncios/a1238100/pessoa-para-area-de-engenharia-de-dados/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Não Informado,Pessoa para área de engenharia de dados,Netvagas,"Power BI, ETL, Databricks, Azure"
https://picpay.com/oportunidades-de-emprego-e-carreiras/central-de-vagas/4491556005,Engenheiro de Dados,Pleno,Desenvolvedor(a) Java Pleno | Benefícios,PicPay,"Git, Docker, MongoDB"
https://vagas.cpfl.com.br/job/Indaiatuba-Analista-de-Servi%C3%A7os-de-Suprimentos-Sr/641757519/,Engenheiro de Dados,Sênior,Analista de Serviços de Suprimentos Sr,CPFL Energia,"Power BI, Excel"
https://pages.cnpem.br/trabalheconosco/2024/11/27/especialista-em-desenvolvimento-tecnologico-pleno-352089/,Engenheiro de Dados,Pleno,Especialista em Desenvolvimento Tecnológico Pleno (352089),Centro Nacional de Pesquisa em Energia e Materiais,Python
https://www.netvagas.com.br/empresa/anuncios/a1237281/engenheiro-de-machine-learning-senior/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Sênior,Engenheiro de machine learning sênior,Netvagas,"Python, ETL, MLOps, Deep Learning"
https://www.netvagas.com.br/empresa/anuncios/a851248/engenheiro-especialista-em-avaliacao-de-pocos/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Não Informado,Engenheiro especialista em avaliação de poços,Netvagas,"Power BI, Excel"
https://carreiras.leroymerlin.com.br/jobs/5038046-gerente-comercial-sanitarios-e-encanamentos,Engenheiro de Dados,Não Informado,Gerente Comercial - Sanitários e Encanamentos,LEROY MERLIN BR,"Power BI, Qlik view"
https://rh.grupomascarello.com.br/vagas/detalhe/comprador-85224,Engenheiro de Dados,Não Informado,Comprador (a),Grupo Mascarello,Excel
https://orthodontic.gupy.io/job/eyJqb2JJZCI6ODIwMjE5NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Júnior,Franqueadora - Gerente de TI,ORTHODONTIC BRASIL,"Power BI, ETL"
https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODE5NTgzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Pessoa Desenvolvedora Mobile (iOS),MJV Technology & Innovation,"ETL, Git"
