"vaga_id","link_site","link_origem","data_publicacao","data_coleta","link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
31,https://www.vagas.com.br/vagas/v2679286/analista-de-dados,https://www.vagas.com.br/vagas/v2679286/analista-de-dados,"2024-11-18","2024-11-26",https://www.vagas.com.br/vagas/v2679286/analista-de-dados,Analista de Dados,Pleno,Analista de Dados,Kasznar Leonardos,"Power BI, Excel, ETL"
32,https://www.vagas.com.br/vagas/v2696908/analista-de-dados,https://www.vagas.com.br/vagas/v2696908/analista-de-dados,"2024-11-25","2024-11-26",https://www.vagas.com.br/vagas/v2696908/analista-de-dados,Analista de Dados,Júnior,Analista de Dados,AGC Vidros do Brasil,"Power BI, Excel, SQL, ETL"
33,https://www.vagas.com.br/vagas/v2694748/analista-de-dados-pl,https://www.vagas.com.br/vagas/v2694748/analista-de-dados-pl,"2024-11-12","2024-11-26",https://www.vagas.com.br/vagas/v2694748/analista-de-dados-pl,Analista de Dados,Pleno,Analista de Dados Pl,Marjan Farma,"Power BI, Python, SQL, ETL"
34,https://www.vagas.com.br/vagas/v2685818/analista-engenheiro-de-dados-sr,https://www.vagas.com.br/vagas/v2685818/analista-engenheiro-de-dados-sr,"2024-10-11","2024-11-26",https://www.vagas.com.br/vagas/v2685818/analista-engenheiro-de-dados-sr,Analista de Dados,Sênior,Analista Engenheiro de Dados Sr,Inspirali,"Power BI, Excel, Python, SQL, ETL, Databricks"
35,https://www.vagas.com.br/vagas/v2695662/analista-de-dados-e-performance-jr,https://www.vagas.com.br/vagas/v2695662/analista-de-dados-e-performance-jr,"2024-11-18","2024-11-26",https://www.vagas.com.br/vagas/v2695662/analista-de-dados-e-performance-jr,Analista de Dados,Júnior,Analista de Dados e Performance Jr,EDITORA GLOBO,Power BI
36,https://www.vagas.com.br/vagas/v2685803/analista-ciencia-de-dados-sr-analista-bi-sr,https://www.vagas.com.br/vagas/v2685803/analista-ciencia-de-dados-sr-analista-bi-sr,"2024-10-11","2024-11-26",https://www.vagas.com.br/vagas/v2685803/analista-ciencia-de-dados-sr-analista-bi-sr,Analista de Dados,Sênior,Analista Ciência de Dados Sr (Analista Bi Sr),Inspirali,"Power BI, Tableau, Excel, SQL, ETL"
37,https://www.vagas.com.br/vagas/v2693427/analista-de-pesquisa-de-mercado-dados,https://www.vagas.com.br/vagas/v2693427/analista-de-pesquisa-de-mercado-dados,"2024-11-06","2024-11-26",https://www.vagas.com.br/vagas/v2693427/analista-de-pesquisa-de-mercado-dados,Analista de Dados,Sênior,Analista de Pesquisa de Mercado (Dados),Cushman,Power BI
38,https://www.vagas.com.br/vagas/v2694421/analista-de-seguranca-de-banco-de-dados-pleno,https://www.vagas.com.br/vagas/v2694421/analista-de-seguranca-de-banco-de-dados-pleno,"2024-11-11","2024-11-26",https://www.vagas.com.br/vagas/v2694421/analista-de-seguranca-de-banco-de-dados-pleno,Analista de Dados,Pleno,Analista de Segurança de Banco de Dados Pleno,Oakmont Group,"SQL, Oracle, Linux"
39,https://www.vagas.com.br/vagas/v2696619/analista-custos-sinistros-pl-analise-de-dados,https://www.vagas.com.br/vagas/v2696619/analista-custos-sinistros-pl-analise-de-dados,"2024-11-22","2024-11-26",https://www.vagas.com.br/vagas/v2696619/analista-custos-sinistros-pl-analise-de-dados,Analista de Dados,Pleno,Analista Custos Sinistros Pl - Análise de Dados,SulAmérica,Excel
40,https://www.vagas.com.br/vagas/v2696421/movimenta-rede-analista-de-qualidade-pl-acuracia-de-dados-corporativo-rj,https://www.vagas.com.br/vagas/v2696421/movimenta-rede-analista-de-qualidade-pl-acuracia-de-dados-corporativo-rj,"2024-11-21","2024-11-26",https://www.vagas.com.br/vagas/v2696421/movimenta-rede-analista-de-qualidade-pl-acuracia-de-dados-corporativo-rj,Analista de Dados,Pleno,Movimenta Rede - Analista de Qualidade Pl - Acurácia de Dados - Corporativo RJ,Rede D'Or,Excel
41,https://www.vagas.com.br/vagas/v2692163/analista-de-bi-jr,https://www.vagas.com.br/vagas/v2692163/analista-de-bi-jr,"2024-11-01","2024-11-26",https://www.vagas.com.br/vagas/v2692163/analista-de-bi-jr,Analista de Dados,Júnior,Analista de Bi Jr.,Selpe,"SQL, Azure"
42,https://www.vagas.com.br/vagas/v2692930/analista-de-pricing-sr,https://www.vagas.com.br/vagas/v2692930/analista-de-pricing-sr,"2024-11-05","2024-11-26",https://www.vagas.com.br/vagas/v2692930/analista-de-pricing-sr,Analista de Dados,Sênior,Analista de Pricing Sr,J&T Express,Excel
43,https://www.vagas.com.br/vagas/v2691811/analista-de-performance,https://www.vagas.com.br/vagas/v2691811/analista-de-performance,"2024-10-31","2024-11-26",https://www.vagas.com.br/vagas/v2691811/analista-de-performance,Analista de Dados,Pleno,Analista de Performance,XCMG Brasil Indústria,"Power BI, Excel"
44,https://www.vagas.com.br/vagas/v2696744/analista-de-produtos-ii,https://www.vagas.com.br/vagas/v2696744/analista-de-produtos-ii,"2024-11-22","2024-11-26",https://www.vagas.com.br/vagas/v2696744/analista-de-produtos-ii,Analista de Dados,Pleno,Analista de Produtos II,Odontoprev,"SAS, Power BI, Tableau, Python, SQL, Looker"
45,https://www.vagas.com.br/vagas/v2695047/analista-de-bi,https://www.vagas.com.br/vagas/v2695047/analista-de-bi,"2024-11-13","2024-11-26",https://www.vagas.com.br/vagas/v2695047/analista-de-bi,Analista de Dados,Pleno,Analista de Bi,Furukawa Electric LatAm,"Power BI, Tableau, Python, SQL, AWS"
46,https://www.vagas.com.br/vagas/v2694494/analista-de-pricing,https://www.vagas.com.br/vagas/v2694494/analista-de-pricing,"2024-11-12","2024-11-26",https://www.vagas.com.br/vagas/v2694494/analista-de-pricing,Analista de Dados,Pleno,Analista de Pricing,J&T Express,Excel
47,https://www.vagas.com.br/vagas/v2681893/analista-financeiro-pl,https://www.vagas.com.br/vagas/v2681893/analista-financeiro-pl,"2024-09-26","2024-11-26",https://www.vagas.com.br/vagas/v2681893/analista-financeiro-pl,Analista de Dados,Pleno,Analista Financeiro Pl,Grupo Guanabara,"Power BI, Excel"
48,https://www.vagas.com.br/vagas/v2687992/analista-de-mercado-iii,https://www.vagas.com.br/vagas/v2687992/analista-de-mercado-iii,"2024-11-04","2024-11-26",https://www.vagas.com.br/vagas/v2687992/analista-de-mercado-iii,Analista de Dados,Pleno,Analista de Mercado III,Vallourec Soluções Tubulares,"Excel, ETL"
49,https://www.vagas.com.br/vagas/v2694728/analista-administrativo-pleno,https://www.vagas.com.br/vagas/v2694728/analista-administrativo-pleno,"2024-11-12","2024-11-26",https://www.vagas.com.br/vagas/v2694728/analista-administrativo-pleno,Analista de Dados,Pleno,Analista  Administrativo Pleno,Confidencial,"Power BI, Excel"
